# z r Bz Br
#--------------------
 -341 14 0.0005 -0.000077
 -341 15 0.0005 -0.000082
 -341 16 0.000498 -0.000088
 -341 17 0.000497 -0.000093
 -341 18 0.000496 -0.000098
 -341 19 0.000495 -0.000104
 -341 20 0.000494 -0.000109
 -341 21 0.000492 -0.000115
 -341 22 0.000492 -0.00012
 -341 23 0.00049 -0.000126
 -341 24 0.000488 -0.000131
 -341 25 0.000487 -0.000136
 -341 26 0.000486 -0.000142
 -341 27 0.000484 -0.000147
 -341 28 0.000482 -0.000152
 -341 29 0.000481 -0.000157
 -341 30 0.000478 -0.000163
 -341 31 0.000477 -0.000167
 -341 32 0.000475 -0.000173
 -341 33 0.000473 -0.000179
 -341 34 0.000471 -0.000184
 -341 35 0.000469 -0.000189
 -341 36 0.000467 -0.000194
 -341 37 0.000464 -0.000199
 -341 38 0.000463 -0.000204
 -341 39 0.00046 -0.000209
 -341 40 0.000458 -0.000214
 -341 41 0.000456 -0.000219
 -341 42 0.000453 -0.000224
 -341 43 0.000451 -0.000229
 -341 44 0.000449 -0.000234
 -341 45 0.000446 -0.000239
 -341 46 0.000443 -0.000244
 -341 47 0.000441 -0.000249
 -341 48 0.000438 -0.000253
 -341 49 0.000435 -0.000259
 -341 50 0.000433 -0.000263
 -340 0 0.000516 0
 -340 1 0.000517 -0.000006
 -340 2 0.000517 -0.000011
 -340 3 0.000517 -0.000017
 -340 4 0.000516 -0.000023
 -340 5 0.000516 -0.000028
 -340 6 0.000516 -0.000034
 -340 7 0.000516 -0.000039
 -340 8 0.000515 -0.000044
 -340 9 0.000514 -0.000049
 -340 10 0.000514 -0.000055
 -340 11 0.000514 -0.000061
 -340 12 0.000513 -0.000067
 -340 13 0.000512 -0.000072
 -340 14 0.000512 -0.000077
 -340 15 0.00051 -0.000083
 -340 16 0.000509 -0.000089
 -340 17 0.000508 -0.000094
 -340 18 0.000507 -0.0001
 -340 19 0.000506 -0.000105
 -340 20 0.000505 -0.00011
 -340 21 0.000503 -0.000116
 -340 22 0.000503 -0.000122
 -340 23 0.000502 -0.000127
 -340 24 0.000499 -0.000132
 -340 25 0.000498 -0.000138
 -340 26 0.000496 -0.000143
 -340 27 0.000495 -0.000149
 -340 28 0.000493 -0.000154
 -340 29 0.000492 -0.000159
 -340 30 0.000489 -0.000165
 -340 31 0.000488 -0.00017
 -340 32 0.000486 -0.000175
 -340 33 0.000484 -0.00018
 -340 34 0.000481 -0.000185
 -340 35 0.00048 -0.000191
 -340 36 0.000478 -0.000196
 -340 37 0.000475 -0.000201
 -340 38 0.000474 -0.000206
 -340 39 0.000471 -0.000211
 -340 40 0.000468 -0.000217
 -340 41 0.000466 -0.000221
 -340 42 0.000464 -0.000226
 -340 43 0.000461 -0.000232
 -340 44 0.000459 -0.000237
 -340 45 0.000456 -0.000241
 -340 46 0.000454 -0.000247
 -340 47 0.00045 -0.000251
 -340 48 0.000449 -0.000256
 -340 49 0.000445 -0.000261
 -340 50 0.000443 -0.000266
 -339 0 0.00053 0
 -339 1 0.000528 -0.000006
 -339 2 0.000528 -0.000011
 -339 3 0.000529 -0.000017
 -339 4 0.000529 -0.000022
 -339 5 0.000527 -0.000028
 -339 6 0.000527 -0.000034
 -339 7 0.000528 -0.00004
 -339 8 0.000526 -0.000045
 -339 9 0.000526 -0.000051
 -339 10 0.000525 -0.000056
 -339 11 0.000525 -0.000062
 -339 12 0.000524 -0.000067
 -339 13 0.000523 -0.000074
 -339 14 0.000522 -0.000079
 -339 15 0.000521 -0.000084
 -339 16 0.00052 -0.00009
 -339 17 0.000519 -0.000096
 -339 18 0.000518 -0.000101
 -339 19 0.000517 -0.000107
 -339 20 0.000516 -0.000112
 -339 21 0.000515 -0.000117
 -339 22 0.000513 -0.000123
 -339 23 0.000512 -0.000128
 -339 24 0.000511 -0.000134
 -339 25 0.000509 -0.000139
 -339 26 0.000507 -0.000144
 -339 27 0.000506 -0.00015
 -339 28 0.000504 -0.000155
 -339 29 0.000502 -0.000161
 -339 30 0.000501 -0.000166
 -339 31 0.000499 -0.000172
 -339 32 0.000497 -0.000177
 -339 33 0.000495 -0.000182
 -339 34 0.000492 -0.000187
 -339 35 0.000491 -0.000193
 -339 36 0.000489 -0.000198
 -339 37 0.000486 -0.000203
 -339 38 0.000484 -0.000209
 -339 39 0.000482 -0.000214
 -339 40 0.000479 -0.000219
 -339 41 0.000476 -0.000224
 -339 42 0.000474 -0.000229
 -339 43 0.000472 -0.000234
 -339 44 0.00047 -0.000239
 -339 45 0.000466 -0.000244
 -339 46 0.000464 -0.000249
 -339 47 0.000461 -0.000255
 -339 48 0.000458 -0.000259
 -339 49 0.000456 -0.000264
 -339 50 0.000453 -0.000269
 -338 0 0.00054 0
 -338 1 0.00054 -0.000006
 -338 2 0.000539 -0.000012
 -338 3 0.00054 -0.000017
 -338 4 0.00054 -0.000022
 -338 5 0.000538 -0.000028
 -338 6 0.000539 -0.000035
 -338 7 0.000539 -0.00004
 -338 8 0.000538 -0.000045
 -338 9 0.000536 -0.000051
 -338 10 0.000536 -0.000057
 -338 11 0.000536 -0.000063
 -338 12 0.000535 -0.000068
 -338 13 0.000534 -0.000074
 -338 14 0.000533 -0.00008
 -338 15 0.000533 -0.000085
 -338 16 0.000532 -0.00009
 -338 17 0.000531 -0.000096
 -338 18 0.000529 -0.000102
 -338 19 0.000528 -0.000108
 -338 20 0.000527 -0.000113
 -338 21 0.000526 -0.000119
 -338 22 0.000524 -0.000124
 -338 23 0.000522 -0.00013
 -338 24 0.000522 -0.000136
 -338 25 0.00052 -0.000141
 -338 26 0.000518 -0.000146
 -338 27 0.000517 -0.000151
 -338 28 0.000515 -0.000157
 -338 29 0.000514 -0.000163
 -338 30 0.000511 -0.000168
 -338 31 0.000509 -0.000173
 -338 32 0.000508 -0.000179
 -338 33 0.000505 -0.000185
 -338 34 0.000503 -0.00019
 -338 35 0.000502 -0.000195
 -338 36 0.000499 -0.0002
 -338 37 0.000497 -0.000205
 -338 38 0.000495 -0.00021
 -338 39 0.000492 -0.000216
 -338 40 0.00049 -0.000221
 -338 41 0.000487 -0.000226
 -338 42 0.000485 -0.000232
 -338 43 0.000483 -0.000237
 -338 44 0.00048 -0.000242
 -338 45 0.000477 -0.000247
 -338 46 0.000474 -0.000252
 -338 47 0.000471 -0.000257
 -338 48 0.000468 -0.000262
 -338 49 0.000466 -0.000267
 -338 50 0.000463 -0.000272
 -337 0 0.000551 0
 -337 1 0.000551 -0.000005
 -337 2 0.000552 -0.000011
 -337 3 0.000551 -0.000017
 -337 4 0.00055 -0.000023
 -337 5 0.000551 -0.000029
 -337 6 0.00055 -0.000035
 -337 7 0.00055 -0.000041
 -337 8 0.00055 -0.000046
 -337 9 0.000547 -0.000052
 -337 10 0.000549 -0.000058
 -337 11 0.000548 -0.000063
 -337 12 0.000545 -0.000069
 -337 13 0.000546 -0.000075
 -337 14 0.000545 -0.000081
 -337 15 0.000544 -0.000086
 -337 16 0.000543 -0.000092
 -337 17 0.000542 -0.000097
 -337 18 0.00054 -0.000103
 -337 19 0.000539 -0.000109
 -337 20 0.000539 -0.000115
 -337 21 0.000537 -0.00012
 -337 22 0.000536 -0.000126
 -337 23 0.000534 -0.000131
 -337 24 0.000532 -0.000137
 -337 25 0.000531 -0.000142
 -337 26 0.00053 -0.000148
 -337 27 0.000528 -0.000154
 -337 28 0.000526 -0.000159
 -337 29 0.000525 -0.000165
 -337 30 0.000522 -0.00017
 -337 31 0.00052 -0.000176
 -337 32 0.000519 -0.000181
 -337 33 0.000517 -0.000186
 -337 34 0.000514 -0.000192
 -337 35 0.000512 -0.000198
 -337 36 0.00051 -0.000203
 -337 37 0.000509 -0.000208
 -337 38 0.000506 -0.000213
 -337 39 0.000502 -0.000218
 -337 40 0.000501 -0.000224
 -337 41 0.000498 -0.000229
 -337 42 0.000496 -0.000234
 -337 43 0.000493 -0.000239
 -337 44 0.000491 -0.000245
 -337 45 0.000488 -0.00025
 -337 46 0.000484 -0.000254
 -337 47 0.000481 -0.000259
 -337 48 0.000479 -0.000264
 -337 49 0.000477 -0.00027
 -337 50 0.000473 -0.000275
 -336 0 0.000562 0
 -336 1 0.000562 -0.000006
 -336 2 0.000563 -0.000011
 -336 3 0.000563 -0.000017
 -336 4 0.000562 -0.000023
 -336 5 0.000562 -0.000029
 -336 6 0.000563 -0.000035
 -336 7 0.00056 -0.000041
 -336 8 0.000561 -0.000046
 -336 9 0.00056 -0.000053
 -336 10 0.00056 -0.000058
 -336 11 0.000559 -0.000064
 -336 12 0.000558 -0.00007
 -336 13 0.000558 -0.000075
 -336 14 0.000556 -0.000081
 -336 15 0.000556 -0.000087
 -336 16 0.000554 -0.000093
 -336 17 0.000553 -0.000099
 -336 18 0.000552 -0.000104
 -336 19 0.000551 -0.00011
 -336 20 0.000551 -0.000115
 -336 21 0.000548 -0.000121
 -336 22 0.000547 -0.000127
 -336 23 0.000545 -0.000133
 -336 24 0.000544 -0.000139
 -336 25 0.000542 -0.000144
 -336 26 0.000541 -0.00015
 -336 27 0.000539 -0.000155
 -336 28 0.000537 -0.000161
 -336 29 0.000537 -0.000167
 -336 30 0.000532 -0.000172
 -336 31 0.000532 -0.000178
 -336 32 0.00053 -0.000183
 -336 33 0.000528 -0.000189
 -336 34 0.000526 -0.000194
 -336 35 0.000524 -0.000199
 -336 36 0.000521 -0.000205
 -336 37 0.000519 -0.00021
 -336 38 0.000517 -0.000215
 -336 39 0.000514 -0.000221
 -336 40 0.000512 -0.000226
 -336 41 0.000508 -0.000232
 -336 42 0.000507 -0.000237
 -336 43 0.000504 -0.000242
 -336 44 0.000502 -0.000247
 -336 45 0.000498 -0.000252
 -336 46 0.000496 -0.000257
 -336 47 0.000492 -0.000263
 -336 48 0.00049 -0.000268
 -336 49 0.000488 -0.000273
 -336 50 0.000484 -0.000278
 -335 0 0.000574 0
 -335 1 0.000575 -0.000006
 -335 2 0.000574 -0.000012
 -335 3 0.000574 -0.000018
 -335 4 0.000574 -0.000024
 -335 5 0.000574 -0.000029
 -335 6 0.000574 -0.000035
 -335 7 0.000572 -0.000041
 -335 8 0.000572 -0.000047
 -335 9 0.000572 -0.000053
 -335 10 0.000571 -0.000059
 -335 11 0.00057 -0.000064
 -335 12 0.00057 -0.000071
 -335 13 0.00057 -0.000077
 -335 14 0.000567 -0.000082
 -335 15 0.000568 -0.000088
 -335 16 0.000566 -0.000094
 -335 17 0.000565 -0.0001
 -335 18 0.000564 -0.000106
 -335 19 0.000562 -0.000111
 -335 20 0.000562 -0.000117
 -335 21 0.00056 -0.000123
 -335 22 0.000558 -0.000129
 -335 23 0.000557 -0.000135
 -335 24 0.000556 -0.00014
 -335 25 0.000554 -0.000146
 -335 26 0.000552 -0.000151
 -335 27 0.000551 -0.000157
 -335 28 0.000548 -0.000163
 -335 29 0.000547 -0.000169
 -335 30 0.000545 -0.000174
 -335 31 0.000543 -0.000179
 -335 32 0.000541 -0.000185
 -335 33 0.000539 -0.000191
 -335 34 0.000537 -0.000196
 -335 35 0.000534 -0.000202
 -335 36 0.000532 -0.000207
 -335 37 0.00053 -0.000212
 -335 38 0.000528 -0.000218
 -335 39 0.000525 -0.000223
 -335 40 0.000523 -0.000229
 -335 41 0.000519 -0.000234
 -335 42 0.000517 -0.00024
 -335 43 0.000515 -0.000245
 -335 44 0.000513 -0.000249
 -335 45 0.000509 -0.000254
 -335 46 0.000506 -0.00026
 -335 47 0.000504 -0.000266
 -335 48 0.000502 -0.00027
 -335 49 0.000498 -0.000276
 -335 50 0.000495 -0.000281
 -334 0 0.000587 0
 -334 1 0.000586 -0.000006
 -334 2 0.000586 -0.000012
 -334 3 0.000586 -0.000018
 -334 4 0.000585 -0.000025
 -334 5 0.000585 -0.00003
 -334 6 0.000585 -0.000036
